part_number,description,category,source_image,source_page,image_status,image_filename,generated,confidence,notes
5024,DISCCUTTER,ATT,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1252029,Track Rod Link (335/Y0144),BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
108064650,BOLT,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
501211778,AEB STARTER.,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
732020084,TENSIONSPRING,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
737503053,SLOTTEDNUT,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
750112141,PROF.SEAL RING,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
900000007,CAPSCREW,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1090005670,Bolt L=65,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1090091141,BOLT,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1090300910,Bolt,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1090440470,Bolt,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1090520221,Bolt L=84,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1090701000,Bolt M12X100,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1090701010,Bolt L=113,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1093607820,HOSETURBOAIRINLET,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1094400401,Nut,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1094680021,NUT,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096000160,CUPSEALING,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096230580,SEAL,TRD,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096231630,ORING,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096231830,ORING,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096234620,GASKET,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096254380,SEALOILFRONT,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096254391,SEALOILREAR,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096255450,SEAL,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096300820,WASHERSEAL,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096300830,WASHERSEAL,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096370581,GASKET,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096370582,GASKET,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096370600,GASKET,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096370601,GASKET,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096390320,BUSHRUBBER,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096750371,BOLTEYE,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096750770,BOLTBANJO,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096750810,BOLT BANZO,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096750860,BOLTBANJO,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096751390,Bolteye,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1096751600,BOLYEYE,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1111411961,GASKETCYL.HEAD,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1111730590,GASKET ROCKER COVER,HLN,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
1112820140,GASKET,BHL,no,,placeholder_image,,no,,No matching PDF entry found; standardized placeholder used.
